PR,Project,CommitHash,Time
120086861,django/django,c7bf645f377520a602b1e027865260f2734201b8,2017-05-11T11:41:19Z
120052335,django/django,6d3e2bb62ce97ee85796e054508a8596d0950431,2017-06-06T14:48:28Z
119912682,django/django,789c290150a0a5e7312e152df281dbcaf4ec174e,2017-05-31T18:52:40Z
119904208,django/django,d3dd6b1df92c5f34a61f018753d406b97654864b,2017-05-10T14:55:20Z
119904208,django/django,d4f036057f66a4c913aff1b15a76188b7c3684ae,2017-05-10T15:12:43Z
119871657,django/django,6761615f9c86c7b090f8a6b992cb361f8724c478,2017-05-10T12:30:43Z
119820747,django/django,515c18b2a4a50a521e6eb6fb3882e2d0fb4bbf6f,2017-05-10T07:43:37Z
119820747,django/django,2607abfa5c7618465f5808427f0813bfa9a69bb5,2017-06-02T05:50:46Z
119820747,django/django,e4419e63a38a36749641f63f756c514d0a0c8b21,2017-06-03T04:57:31Z
119661297,django/django,b53c63483a6c2348eb32d6e3d434b3d9e724e3a5,2017-05-09T13:32:00Z
119652877,django/django,ee6aafacfd01f2603943e8c4183805fd4a298355,2017-05-09T12:45:27Z
119652462,django/django,4eb4453dac8cb5b5c06cf3e91129f8fc2f943936,2017-01-18T00:03:15Z
119652462,django/django,792c13fbba1d5272d337d25b141b1cf4264df795,2017-01-18T00:20:49Z
119652462,django/django,246bece37a570e1e4e8b6f94978777857c86c0d8,2017-01-18T00:31:46Z
119652462,django/django,b7621bbe8052fce7c0c179e3bde2d5c2b3758480,2017-01-19T13:20:15Z
119652462,django/django,518693bef559bb719e68b08904a9250abfd9237c,2017-01-19T16:07:17Z
119652462,django/django,c96d1c74766a14c9d2b2796e7f5b176a02ab0fac,2017-01-19T18:22:36Z
119652462,django/django,6bb01b0b3cc6e5b2cf8d75ed2fd00a442d5caf52,2017-01-21T00:00:56Z
119652462,django/django,a15d81a183e2d85969ed46adb975661515330b16,2017-01-21T12:42:10Z
119652462,django/django,e4dab20a2728d50a3a61bae97bb95e71a78557bb,2017-01-23T12:33:42Z
119652462,django/django,696910059570e5a689177fa37a1f52fa48b42cb1,2017-01-23T12:45:22Z
119652462,django/django,9e9d0f8ef7577f2369cb91115d159c950ad81e3e,2017-01-23T14:28:25Z
119652462,django/django,706b30fc37f59f2211b78ceff24c4fcb680e8a5d,2017-01-23T18:14:41Z
119652462,django/django,783afda70ad55e39f268c953997ec0f92ba37aee,2017-01-24T00:14:43Z
119652462,django/django,fb55247d595088df455b3ef814e9366b3db1a4fe,2017-01-24T00:25:02Z
119652462,django/django,a69fc396e47cea763401eaaab92e11a5343e7d3e,2017-01-25T12:46:37Z
119652462,django/django,c94cb4f86541d8f76ee27652e214fedd0c0920fe,2017-01-25T14:15:36Z
119652462,django/django,ec0af19f4c9c845ff1ce376c83853ae9345205ca,2017-01-25T15:31:24Z
119652462,django/django,9194df2f5593c26c265826458e845dc028fe2530,2017-01-25T18:40:17Z
119652462,django/django,15967d5e4a063f2b86dbbd1f1e55c0f7bb1a06c6,2017-01-25T18:53:05Z
119652462,django/django,7dda48bf18454b34e8e0a305dbfda08ecfe8db25,2017-01-25T18:53:59Z
119652462,django/django,092f09fcc184cf611d5a144172c8b49c25c86577,2017-01-26T23:36:54Z
119652462,django/django,a364fb38107534362a9817d7d3243d4695798ffd,2017-01-26T23:58:43Z
119652462,django/django,d9f2887645e8babd332afdf971dc66a02428eaff,2017-01-27T16:29:55Z
119652462,django/django,33ff4e4e587853ffdcf603419ea0502cf3788c3a,2017-01-27T22:21:41Z
119652462,django/django,f706576adf16bd44fe10386a570cbb657b412066,2017-01-28T13:10:07Z
119652462,django/django,aa52e8b77b9680581ff47a0e5e8046ba289bd59f,2017-01-28T15:14:11Z
119652462,django/django,b183abfc8d09ecc1ee4ace4e0c6d11bd9d42b2fb,2017-01-28T17:58:17Z
119652462,django/django,f11c0008bc4020fd5f4c02e4ee500a0fc58f0ab3,2017-01-30T17:07:28Z
119652462,django/django,76a99f1b9ab6386685483fcd012a176c41d49363,2017-01-30T20:39:34Z
119652462,django/django,437e0ba5337e7bcc1425e1506675e6e780d06f42,2017-01-31T13:02:18Z
119596783,django/django,96cd0141fc60d6e2da484cb3076716bc5fcc1dfb,2017-05-09T07:11:11Z
119552250,django/django,8e352876c337332b45a72da8bbccad2830c7b1e0,2017-05-09T09:15:41Z
119543092,django/django,a713a46b3d80c29a634eb627356fdebf9a31e286,2018-03-17T07:49:41Z
119518165,django/django,b4cba4ed625ce7c88675616b3bbb237c28a926d1,2018-06-29T19:51:59Z
119460887,django/django,6426ecf2442b7a675ca77c1baac2b66d46d2dfd9,2017-05-08T14:30:59Z
119454774,django/django,c2975910a5bc2729c2de01eb5b84777fa59551e1,2017-05-08T15:07:00Z
119394597,django/django,43c65e0eb003b0eed34eae60a9e2292c00d7e4b6,2017-05-20T13:11:09Z
119388120,django/django,9efecdd2255705a53d9729fdeabb054a1274b3c3,2017-05-23T14:03:56Z
119346025,django/django,bc4a549c2245936d1529a90b8e47bc7fe4296950,2018-07-23T10:35:39Z
119328218,django/django,9185db4a7d9f1687733f0fcb727db82f95851674,2017-05-07T06:31:09Z
119328218,django/django,7e4c48c61303c85384470b1367d27fcf7ea057a2,2017-05-07T06:59:12Z
119323992,django/django,bbae8d27648725afaefeaf2158a24c99a06a7e41,2017-06-06T19:14:51Z
119311625,django/django,5fa4f40f45fcdbb7e48489ed3039a314b5c961d0,2018-03-20T16:10:10Z
119311625,django/django,6421bd702fb8205c6b91395d087dc34d179f0c35,2018-03-20T16:10:10Z
119311625,django/django,281c0223b376d6fa1a11e0726d824ed35cfe7524,2018-03-20T16:10:10Z
119308924,django/django,bdf192c59357a0d8117f6f34c94fb32a51e7a774,2017-05-11T17:59:18Z
119224550,django/django,a15d60509398f3a74318bcf0c42dc992f2aa5cb8,2017-05-05T18:07:09Z
119207111,django/django,f2eeb526de104268ebaa3cc81d19e391a6fc9b5c,2017-05-28T00:35:52Z
119190066,django/django,993442850d4a780d30e9e8c9b4c0e39f8c3b3a5d,2017-05-05T22:04:21Z
119164329,django/django,2befd9c7ebc0a61c19419e5b63d9783a2a8cea94,2016-05-20T10:49:36Z
119164329,django/django,82820368777ba1914e1700ae666594ee551e2b13,2016-05-20T10:50:58Z
119164329,django/django,f248427af2f7183588f13a44a345986397520e68,2016-05-20T12:40:51Z
119164329,django/django,826ec5ee57ba798f4706d4fd6f9ffa8b1065508d,2016-05-23T01:29:59Z
119164329,django/django,8166f5e84a2ca5e12c3edbe2ac438b645234fb76,2016-05-24T00:17:37Z
119164329,django/django,734e21786c31286dce30e42b26e62dcd47fb2c21,2016-05-25T01:50:30Z
119164329,django/django,de5d70461f6830c618f5bc08254ecf14bb7484b3,2016-05-25T13:13:09Z
119164329,django/django,699e43b017b01ab2ef9f1e7a5a75c50a20956485,2016-05-25T13:57:44Z
119164329,django/django,dfae72f45a74b8fe3a08fe0a48c11bfeb9b9efda,2016-05-26T17:32:02Z
119164329,django/django,06db2b88cfa441a0af3b07c5f192f9f00b46716c,2016-05-27T13:13:12Z
119164329,django/django,f38e950685b912fd54226612c20bc538f4fa7679,2016-05-27T14:31:53Z
119164329,django/django,9985544adbdbb4ebae3a19010a0600454117a3a1,2016-05-27T14:36:35Z
119164329,django/django,85ab56944df7f48e3a8b1734c91fd90cb41bfd2f,2016-05-27T21:07:26Z
119164329,django/django,c6aa941978b02138975123514f733ee9c99b0c28,2016-05-27T22:37:37Z
119164329,django/django,fc644076cdb45b8c227ff3041540f281a2c0b007,2016-05-28T12:41:55Z
119164329,django/django,f529d0cb5855db2dfc8d0d39850dbb4793bc75c2,2016-05-28T20:06:06Z
119164329,django/django,e0a4d4477cfc93b2dc06dd212778cb4eef92fc59,2016-05-28T21:16:03Z
119164329,django/django,23e106bb721b3f4a41e40d9d98426e4cb2a12068,2016-05-28T21:33:28Z
119164329,django/django,e1401397240fe62c0cfadc778ae329b1d8c3e75e,2016-05-29T00:48:55Z
119164329,django/django,af8ac46015f5bbed7c266df0ff8490e05282ab59,2016-05-29T16:49:47Z
119164329,django/django,ab92351bc6b58316250c1748cc6dbf55cdba03d2,2016-05-30T12:18:01Z
119164329,django/django,b737c0f5db8fe8499d39c39d2442eaee595ca0fd,2016-05-30T14:27:28Z
119164329,django/django,3e1c8fc4c0027ba5692d846823ed752aa4e114b5,2016-05-30T18:21:48Z
119164329,django/django,c2dde7561aa383ca7c6ac7c44b734e0c986a477f,2016-05-31T11:15:15Z
119164329,django/django,ccea4a44c22b605877758f43ab0235db7507fa3e,2016-05-31T11:21:16Z
